molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,intermediate,2000.0
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,active,600.0
CHEMBL145280,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2F)c1,active,100.0
CHEMBL29898,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,inactive,17000.0
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,inactive,14500.0
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,active,500.0
CHEMBL67233,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC1O,intermediate,9500.0
CHEMBL67233,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC1O,intermediate,7800.0
CHEMBL50605,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccc(F)cc1,active,170.0
CHEMBL145946,O=C(O)C(=O)CC(=O)c1ccn(Cc2ccccc2)c1,active,500.0
CHEMBL145946,O=C(O)C(=O)CC(=O)c1ccn(Cc2ccccc2)c1,active,600.0
CHEMBL541123,C[C@@H]1O[C@@H](OC2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(O)cccc2C4=O)C[C@H](N)[C@@H]1O.Cl,intermediate,2300.0
CHEMBL541123,C[C@@H]1O[C@@H](OC2C[C@](O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(O)cccc2C4=O)C[C@H](N)[C@@H]1O.Cl,intermediate,4100.0
CHEMBL66854,Oc1cccc(/C=N/N=C/c2cccc(O)c2O)c1O,inactive,23900.0
CHEMBL66854,Oc1cccc(/C=N/N=C/c2cccc(O)c2O)c1O,inactive,14000.0
CHEMBL430786,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NNC4(C(=O)[O-])CCCC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.[Na+],intermediate,1200.0
CHEMBL430786,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NNC4(C(=O)[O-])CCCC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.[Na+],intermediate,3600.0
CHEMBL147209,O=C(O)C(=O)CC(=O)c1ccccc1Cc1ccccc1,intermediate,5670.0
CHEMBL85597,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)N1CCN(C(=O)C(=O)/C=C(\O)c2cccc(Cc3ccccc3F)c2)CC1,intermediate,2500.0
CHEMBL85597,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)N1CCN(C(=O)C(=O)/C=C(\O)c2cccc(Cc3ccccc3F)c2)CC1,active,300.0
CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,inactive,87800.0
CHEMBL284616,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,inactive,45800.0
CHEMBL63592,O=C(/C=C/c1ccc(O)c(O)c1)OC(C(=O)O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,active,150.0
CHEMBL63592,O=C(/C=C/c1ccc(O)c(O)c1)OC(C(=O)O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,active,130.0
CHEMBL144727,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(F)c2)c1,active,250.0
CHEMBL146777,COc1ccc(C(=O)CC(=O)C(=O)O)cc1Cc1ccccc1,active,150.0
CHEMBL29898,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,intermediate,4000.0
CHEMBL29898,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,active,1000.0
CHEMBL147317,COc1cc(Cc2ccccc2)cc(C(=O)CC(=O)C(=O)O)c1,active,140.0
CHEMBL148241,CCOc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,active,100.0
CHEMBL413552,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,intermediate,1300.0
CHEMBL413552,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)c(O)c(O)c12,active,600.0
CHEMBL357909,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2Cl)c1,active,100.0
CHEMBL86133,O=C(O)C(=O)/C=C(\O)c1cccc(C(c2cccc(/C(O)=C/C(=O)C(=O)O)c2)c2ccccc2F)c1,intermediate,1800.0
CHEMBL86133,O=C(O)C(=O)/C=C(\O)c1cccc(C(c2cccc(/C(O)=C/C(=O)C(=O)O)c2)c2ccccc2F)c1,active,200.0
CHEMBL441250,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)C1O,active,640.0
CHEMBL441250,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)C1O,active,660.0
CHEMBL67535,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,inactive,10000.0
CHEMBL67535,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCNC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,intermediate,3000.0
CHEMBL358506,O=C(O)C(=O)CC(=O)c1ccc(Cc2ccccc2)s1,active,500.0
CHEMBL145705,COc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,active,100.0
CHEMBL343646,CC(C)Oc1ccc(Cc2ccccc2)cc1C(=O)CC(=O)C(=O)O,active,100.0
CHEMBL35109,O=C(/C=C(\O)c1c[nH]c2ccc(Cl)cc12)c1nn[nH]n1,inactive,17000.0
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,intermediate,5100.0
CHEMBL553067,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCNC(CO)(CO)CO)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O.Cl,intermediate,1100.0
